date,symbol,name,sector,open_price,high_price,low_price,close_price,prev_close,percent_change,volume,turnover,transactions
2026-03-20,MDB,MDB,Unknown,662.9,682.0,650.5,666.0,650.0,2.46,60647.0,40460073.4,245
2026-03-20,MEHL,MEHL,Unknown,490.0,491.6,477.2,480.0,482.0,-0.41,37372.0,18120855.9,336
2026-03-20,MEL,MEL,Unknown,306.0,312.0,303.0,307.0,300.0,2.33,110550.0,34151341.4,795
2026-03-20,MEN,MEN,Unknown,616.0,629.0,615.0,629.0,616.0,2.11,92106.0,57578899.9,442
2026-03-20,MERO,MERO,Unknown,733.0,769.0,727.0,745.0,730.1,2.04,42165.0,31492701.4,222
2026-03-20,MFIL,MFIL,Unknown,838.0,870.0,838.0,854.0,855.0,-0.12,120563.0,102228838.4,474
2026-03-20,MFLD85,MFLD85,Unknown,1163.7,1163.7,1163.7,1163.7,1187.1,-1.97,25.0,29092.5,1
2026-03-20,MHCL,MHCL,Unknown,380.0,397.0,380.0,393.2,383.0,2.66,63786.0,25003977.0,389
2026-03-20,MHL,MHL,Unknown,562.9,574.0,558.9,561.0,562.9,-0.34,45042.0,25425162.2,267
2026-03-20,MHNL,MHNL,Unknown,313.8,324.0,302.2,323.5,307.7,5.13,216889.0,68638713.6,773
2026-03-20,MKCL,MKCL,Unknown,1390.0,1404.0,1383.0,1387.0,1382.0,0.36,5047.0,7024781.6,101
2026-03-20,MKHC,MKHC,Unknown,361.0,367.1,358.0,361.1,354.0,2.01,104969.0,38194566.1,558
2026-03-20,MKHL,MKHL,Unknown,797.5,826.0,797.5,825.0,813.0,1.48,5894.0,4805854.5,116
2026-03-20,MKJC,MKJC,Unknown,536.9,555.9,536.9,547.0,547.8,-0.15,72319.0,39753485.2,322
2026-03-20,MLBBL,MLBBL,Unknown,1335.0,1368.9,1335.0,1357.0,1337.2,1.48,3814.0,5155167.4,58
2026-03-20,MLBL,MLBL,Unknown,393.0,408.0,389.3,405.1,386.0,4.95,199086.0,79858126.7,795
2026-03-20,MLBS,MLBS,Unknown,1468.0,1500.0,1453.0,1500.0,1465.0,2.39,1626.0,2406341.4,36
